threshold_name,threshold_value,volume_id,sample_count,supported_pixels,support_weight_sum,method,high_risk_prevalence,auprc,auroc
q95,2.0520856380462646,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B1,0.16786611390645845,0.2731714679703898,0.6356662170495612
q95,2.0520856380462646,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B2,0.16786611390645845,0.27770479461282704,0.6437853033600431
q95,2.0520856380462646,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B3,0.16786611390645845,0.2758349150813768,0.6480011294070501
q95,2.0520856380462646,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B4,0.16786611390645845,0.33838409219672405,0.765053212209294
q95,2.0520856380462646,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B5,0.16786611390645845,0.1677248733721986,0.4989232899666836
q95,2.0520856380462646,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B6,0.16786611390645845,0.21684094688895714,0.5998624164682473
q85,1.4107755422592163,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,C0,0.4335898276266999,0.9518481069691747,0.9647784737092375
q85,1.4107755422592163,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,U1,0.4335898276266999,0.8448401546033335,0.8701080532410036
q85,1.4107755422592163,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,U2a,0.4335898276266999,0.44773451448744633,0.5670520801806231
q85,1.4107755422592163,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,U2b,0.4335898276266999,0.4464737114232301,0.5925851013453375
q85,1.4107755422592163,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B1,0.4335898276266999,0.6958902053853505,0.794119638708366
q85,1.4107755422592163,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B2,0.4335898276266999,0.7073048669859123,0.8088747165756471
q85,1.4107755422592163,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B3,0.4335898276266999,0.5137528518252816,0.57118347401983
q85,1.4107755422592163,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B4,0.4335898276266999,0.8077973262239709,0.8473308185220122
q85,1.4107755422592163,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B5,0.4335898276266999,0.4339312704844434,0.500604822548272
q85,1.4107755422592163,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B6,0.4335898276266999,0.5972202371334776,0.7594842452374143
q95,2.0520856380462646,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,C0,0.19924788540386407,0.7449961637744804,0.942423398373221
q95,2.0520856380462646,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,U1,0.19924788540386407,0.589829529723188,0.8666632691348257
q95,2.0520856380462646,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,U2a,0.19924788540386407,0.1708328457597404,0.46808629720251194
q95,2.0520856380462646,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,U2b,0.19924788540386407,0.16943727259877722,0.4674751400895061
q95,2.0520856380462646,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B1,0.19924788540386407,0.3882479440550114,0.7438502222085039
